fileName,bytesIn,bytesOut,duration,sizeDecrease,inputBytesPerSecond,outputBytesPerSecond
data-1000000.wav,2091384832,380980272,1m11.742929126s,-81.78%,30 MB/s,5.4 MB/s
data-10000000.wav,2188640256,153165168,58.745790606s,-93.00%,38 MB/s,2.6 MB/s
data-1300000000.wav,2197815296,128965344,46.543785168s,-94.13%,48 MB/s,2.8 MB/s
data-145800000.wav,2199650304,124837120,44.274656941s,-94.32%,50 MB/s,2.8 MB/s
data-1559000000.wav,2196242432,129536832,41.914151722s,-94.10%,54 MB/s,3.2 MB/s
data-2200000000.wav,2175008768,124624400,41.851444049s,-94.27%,53 MB/s,3.0 MB/s
data-433000000.wav,2199126016,126427712,41.175911439s,-94.25%,54 MB/s,3.1 MB/s
data-5000000.wav,2143813632,394285008,52.663362501s,-81.61%,41 MB/s,7.6 MB/s
data-74000000.wav,2101084160,132582240,44.131953839s,-93.69%,48 MB/s,3.0 MB/s
data-790000000.wav,2199126016,127374496,40.373210704s,-94.21%,55 MB/s,3.2 MB/s
data-862000000.wav,2198863872,127548464,35.951279101s,-94.20%,63 MB/s,3.6 MB/s
data-95000000.wav,2200174592,170238416,46.459789245s,-92.26%,48 MB/s,3.7 MB/s

5,4 + 2,6 + 2,8 + 2,8 + 3,2 + 3,0 + 3,1 + 7,6 + 3,0 + 3,2 + 3,6 + 3,7 = 44 / 12 = 3,66 MB/s
