fileName,bytesIn,bytesOut,duration,sizeDecrease,inputBytesPerSecond,outputBytesPerSecond
data-1000000.wav,1000000000,270585718,32.276582878s,-72.94%,31 MB/s,8.5 MB/s
data-10000000.wav,1000000000,264554522,38.423372297s,-73.54%,26 MB/s,7.0 MB/s
data-1300000000.wav,1000000000,270469467,36.577842884s,-72.95%,28 MB/s,7.5 MB/s
data-145800000.wav,1000000000,257881731,37.332698569s,-74.21%,27 MB/s,7.0 MB/s
data-1559000000.wav,1000000000,281282469,37.807973973s,-71.87%,27 MB/s,7.6 MB/s
data-2200000000.wav,1000000000,287985719,36.131139273s,-71.20%,28 MB/s,8.0 MB/s
data-433000000.wav,1000000000,265368391,36.263421439s,-73.46%,28 MB/s,7.4 MB/s
data-5000000.wav,1000000000,267317401,35.753478158s,-73.27%,29 MB/s,7.6 MB/s
data-74000000.wav,1000000000,261038568,35.970493822s,-73.90%,29 MB/s,7.5 MB/s
data-790000000.wav,1000000000,300438193,36.126025275s,-69.96%,28 MB/s,8.3 MB/s
data-862000000.wav,1000000000,297823782,32.657018137s,-70.22%,31 MB/s,9.3 MB/s
data-95000000.wav,1000000000,279209145,33.350044364s,-72.08%,30 MB/s,8.5 MB/s

8.5 + 7.0 + 7.5 + 7.0 + 7.6 + 8.0 + 7.4 + 7.6 + 7.5 + 8.3 + 9.3 + 8.5 = 94,2 / 12 = 7,825 MB/s
