fileName,bytesIn,bytesOut,duration,sizeDecrease,inputBytesPerSecond,outputBytesPerSecond
data-1000000.wav,2091384832,380980263,51.26675646s,-81.78%,41 MB/s,7.5 MB/s
data-10000000.wav,2188640256,153165166,40.691584074s,-93.00%,55 MB/s,3.8 MB/s
data-1300000000.wav,2197815296,128965331,30.748209823s,-94.13%,73 MB/s,4.3 MB/s
data-145800000.wav,2199650304,124837118,31.1727784s,-94.32%,71 MB/s,4.0 MB/s
data-1559000000.wav,2196242432,129536822,30.478704109s,-94.10%,73 MB/s,4.3 MB/s
data-2200000000.wav,2175008768,124624386,28.325180136s,-94.27%,78 MB/s,4.5 MB/s
data-433000000.wav,2199126016,126427704,27.854619021s,-94.25%,81 MB/s,4.7 MB/s
data-5000000.wav,2143813632,394284993,43.781255917s,-81.61%,50 MB/s,9.2 MB/s
data-74000000.wav,2101084160,132582227,29.878796164s,-93.69%,72 MB/s,4.6 MB/s
data-790000000.wav,2199126016,127374491,30.224317535s,-94.21%,73 MB/s,4.2 MB/s
data-862000000.wav,2198863872,127548462,34.233249124s,-94.20%,65 MB/s,3.8 MB/s
data-95000000.wav,2200174592,170238407,42.483673553s,-92.26%,52 MB/s,4.1 MB/s

7.5 + 3.8 + 4.3 + 4.0 + 4.3 + 4.5 + 4.7 + 9.2 + 4.6 + 4.2 + 3.8 + 4.1 = 59 / 12 = 4.91 MB/s
