Filename,Total # tests,Failed tests (any),Failed Chi^2 tests,Failed min. pass tests,Normal tests,NonOverlappingTemplate,RandomExcursions,RandomExcursionsVariant
433_interf.bin_finalAnalysisReport.txt,188,152,151,139,14,148,8,18
433_no.bin_finalAnalysisReport.txt,188,148,147,139,14,148,8,18
DevRandom2.bin_finalAnalysisReport.txt,188,5,2,4,14,148,8,18
DevRandom3.bin_finalAnalysisReport.txt,188,3,1,3,14,148,8,18
DevRandom.bin_finalAnalysisReport.txt,188,4,2,3,14,148,8,18
DevUrandom2.bin_finalAnalysisReport.txt,188,1,1,1,14,148,8,18
DevUrandom3.bin_finalAnalysisReport.txt,188,1,1,1,14,148,8,18
DevUrandom.bin_finalAnalysisReport.txt,188,1,1,1,14,148,8,18
dvb-data-10000000.wav-ka-debiased.bin_finalAnalysisReport.txt,188,1,1,1,14,148,8,18
dvb-data-10000000.wav-vn-debiased.bin_finalAnalysisReport.txt,188,23,15,20,14,148,8,18
dvb-data-1000000.wav-ka-debiased.bin_finalAnalysisReport.txt,188,2,2,1,14,148,8,18
dvb-data-1000000.wav-vn-debiased.bin_finalAnalysisReport.txt,188,39,24,28,14,148,8,18
DVB-data-1300000000.wav-debiased.bin_finalAnalysisReport.txt,188,39,24,31,14,148,8,18
dvb-data-1300000000.wav-ka-debiased.bin_finalAnalysisReport.txt,188,1,1,1,14,148,8,18
dvb-data-1300000000.wav-vn-debiased.bin_finalAnalysisReport.txt,188,39,24,31,14,148,8,18
DVB-data-145800000.wav-debiased.bin_finalAnalysisReport.txt,188,7,4,6,14,148,8,18
dvb-data-145800000.wav-ka-debiased.bin_finalAnalysisReport.txt,188,1,1,1,14,148,8,18
dvb-data-145800000.wav-vn-debiased.bin_finalAnalysisReport.txt,188,7,4,6,14,148,8,18
DVB-data-1559000000.wav-debiased.bin_finalAnalysisReport.txt,188,82,66,44,14,148,8,18
dvb-data-1559000000.wav-ka-debiased.bin_finalAnalysisReport.txt,188,1,1,1,14,148,8,18
dvb-data-1559000000.wav-vn-debiased.bin_finalAnalysisReport.txt,188,64,48,44,14,148,8,18
DVB-data-2200000000.wav-debiased.bin_finalAnalysisReport.txt,188,74,61,57,14,148,8,18
dvb-data-2200000000.wav-ka-debiased.bin_finalAnalysisReport.txt,188,2,2,1,14,148,8,18
dvb-data-2200000000.wav-vn-debiased.bin_finalAnalysisReport.txt,188,74,61,57,14,148,8,18
